CHALLENGER,10,2023-11-23 17:39:23,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:39:26,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:39:27,"ExtraTreesClassifier(max_depth=8, random_state=10)",77.39,73.52,73.77,73.52,1435,513,534,1472,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:39:57,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:39:57,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:40:01,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:40:01,"ExtraTreesClassifier(max_depth=8, random_state=10)",77.39,73.52,73.77,73.52,1435,513,534,1472,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:40:32,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:40:32,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:40:35,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
